expr1,Target name,RA,DEC,Instrument,Observing Mode,Access Status,Processing Level,Start Time,duration
8638899,Hydra-A,139.5231169,-12.0951207,PACS,PacsLineSpec,TRUE,LEVEL2_PROCESSED,11/3/2010 0:30,7374
8639748,Hydra-A,139.5231235,-12.09509515,PACS,PacsLineSpec,TRUE,LEVEL2_PROCESSED,11/1/2010 2:26,12332
8640274,Hydra-A,139.5232555,-12.09500262,PACS,PacsLineSpec,TRUE,LEVEL2_PROCESSED,11/1/2010 0:21,7377
8632933,ic3418,187.4343731,11.405607,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,12/12/2012 19:19,1668
8632935,ic3418,187.4336379,11.40618856,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,12/12/2012 20:16,1668
8632936,ic3418,187.4336379,11.40618856,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,12/12/2012 20:45,1668
8638545,ic3418,187.4343731,11.405607,PACS,PacsPhoto,TRUE,LEVEL3_PROCESSED,12/12/2012 19:48,1668
8521325,J2142-4423,325.6802107,-44.4280019,SPIRE,SpirePhotoLargeScan,TRUE,LEVEL2_PROCESSED,11/23/2010 6:29,2047
8590454,J2142-4423,325.6816285,-44.42271061,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,3/31/2011 0:09,10591
8590456,J2142-4423,325.6816285,-44.42271061,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,3/31/2011 3:07,10591
8638764,lh146,163.3547735,53.41450073,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,11/17/2011 2:58,20056
8638765,lh146_cross_scan-1,163.3547735,53.41450073,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,11/17/2011 8:33,20056
8518094,MACS0025,6.372963958,-12.37523228,SPIRE,SpirePhotoLargeScan,TRUE,LEVEL2_PROCESSED,6/29/2010 10:00,5786
8591160,MACS0025,6.37099465,-12.37564349,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,5/27/2011 8:58,7704
8591162,MACS0025,6.37099465,-12.37564349,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,5/27/2011 11:07,7704
8519509,MACS0647,101.9324846,70.24738064,SPIRE,SpirePhotoLargeScan,TRUE,LEVEL2_PROCESSED,8/24/2010 2:37,5786
8591005,MACS0647,101.9436283,70.25124503,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,4/30/2011 9:39,7704
8591006,MACS0647,101.9436283,70.25124503,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,4/30/2011 11:48,7704
8588979,MACS0744,116.2156905,39.4598129,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,11/4/2010 1:48,7704
8588982,MACS0744,116.2156905,39.4598129,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,11/4/2010 3:58,7704
8613688,MACS0744,116.214643,39.4565713,SPIRE,SpirePhotoLargeScan,TRUE,LEVEL3_PROCESSED,9/21/2010 13:32,5786
8589399,MACS1149,177.3992242,22.39929187,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,12/27/2010 16:18,7704
8589400,MACS1149,177.3992242,22.39929187,PACS,PacsPhoto,TRUE,LEVEL2_5_PROCESSED,12/27/2010 18:28,7704
8613844,MACS1149,177.3986823,22.40030299,SPIRE,SpirePhotoLargeScan,TRUE,LEVEL3_PROCESSED,6/18/2011 19:01,5786
8522201,MACSJ0003.1-0605,0.794817512,-6.091110687,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/7/2011 10:37,169
8528514,MACSJ0010.8+2909,2.716217376,29.16213643,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,12/18/2011 15:28,169
8522202,MACSJ0011.7-1523,2.926142177,-15.38967306,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/7/2011 10:31,169
8527001,MACSJ0014.3-6604,3.589809354,-66.07589938,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,10/11/2011 2:16,169
8528500,MACSJ0018.9-4051,4.747367963,-40.86229116,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,12/18/2011 23:41,169
8528491,MACSJ0019.0-2026,4.773766097,-20.44651299,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,12/18/2011 17:40,169
8618159,MACSJ0019.6+0336,4.903537466,3.610602075,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL3_PROCESSED,1/23/2011 10:53,169
8522059,MACSJ0024.5+3312,6.135562476,33.20927725,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,12/25/2010 16:52,169
8614283,MACSJ0027.4+2607,6.868076883,26.12330655,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL3_PROCESSED,1/3/2012 4:06,169
8614324,MACSJ0027.8+2616,6.963955746,26.27563864,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL3_PROCESSED,1/3/2012 4:10,169
8522764,MACSJ0028.2-7537,7.035524267,-75.62763115,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,2/24/2011 11:32,169
8528533,MACSJ0032.1+1808,8.039966284,18.13706189,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,12/18/2011 15:59,169
8618153,MACSJ0033.8-0751,8.467071782,-7.85707906,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/23/2011 10:10,169
8618157,MACSJ0034.4+0225,8.612728887,2.417276678,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL3_PROCESSED,1/23/2011 10:45,169
8618158,MACSJ0034.9+0234,8.733794374,2.567119331,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL3_PROCESSED,1/23/2011 10:48,169
8528494,MACSJ0035.4-2015,8.861330309,-20.26306495,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,12/18/2011 17:35,169
8618154,MACSJ0041.8-0918,10.45423908,-9.307229177,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL3_PROCESSED,1/23/2011 10:15,169
8528846,MACSJ0051.6+2720,12.91345532,27.34736078,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/15/2012 22:06,169
8528495,MACSJ0105.5-2441,16.39142325,-24.68653999,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,12/18/2011 20:23,169
8534662,MACSJ0110.1+3211,17.53648483,32.18665967,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/3/2012 4:25,169
8528291,MACSJ0111.5+0855,17.89087607,8.930755183,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/14/2012 22:07,169
8528437,MACSJ0138.0-2155,24.50661255,-21.92394464,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,12/18/2011 21:15,169
8528570,MACSJ0140.0-0555,25.0075565,-5.922328235,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/2/2012 4:15,169
8528458,MACSJ0144.7-2213,26.1764717,-22.23025917,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,12/18/2011 21:11,169
8528587,MACSJ0145.2-6033,26.31109634,-60.57082377,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/2/2012 2:16,169
8528839,MACSJ0145.9+2134,26.49105987,21.58221577,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/15/2012 21:47,169
8528595,MACSJ0150.3-1005,27.58837412,-10.09588925,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/2/2012 4:04,169
8528314,MACSJ0152.9+3732,28.2352168,37.53808136,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/27/2012 20:04,169
8612983,MACSJ0153.5-0118,28.3856915,-1.316478042,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL3_PROCESSED,1/14/2012 20:59,169
8528476,MACSJ0159.0-3412,29.77228853,-34.21771259,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,12/18/2011 21:50,169
8528304,MACSJ0159.8-0849,29.95717201,-8.832530821,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/14/2012 20:46,169
8528260,MACSJ0206.4-1453,31.61894109,-14.9000759,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/14/2012 20:06,169
8528418,MACSJ0207.2+0536,31.80126768,5.605194528,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/27/2012 21:51,169
8528608,MACSJ0217.1-5244,34.29606125,-52.74779122,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/2/2012 2:44,169
8528489,MACSJ0218.3-3141,34.58341,-31.70078479,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,12/18/2011 21:46,169
8528259,MACSJ0225.8-4154,36.4671933,-41.91814884,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/14/2012 17:50,169
8528286,MACSJ0232.2-4420,38.069222,-44.34991939,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/14/2012 17:45,169
8614278,MACSJ0234.7-5831,38.68186803,-58.52618003,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL3_PROCESSED,1/2/2012 2:11,169
8528544,MACSJ0241.3-2839,40.34368968,-28.6595057,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/2/2012 3:34,169
8528600,MACSJ0242.5-2132,40.65105879,-21.54058966,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/2/2012 3:44,169
8614285,MACSJ0245.5-5302,41.37908221,-53.04035538,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL3_PROCESSED,1/2/2012 2:53,169
8522668,MACSJ0257.1-2325,44.28681839,-23.43405441,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,2/20/2011 11:44,169
8522662,MACSJ0257.6-2209,44.42134627,-22.15403364,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,2/20/2011 11:48,169
8529757,MACSJ0258.9+1334,44.73815355,13.57904514,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/1/2012 3:42,169
8529797,MACSJ0301.6+0155,45.40005066,1.919127868,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/1/2012 4:04,169
8522653,MACSJ0303.2-2735,45.82097736,-27.59809086,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,2/20/2011 11:30,169
8522766,MACSJ0303.7-7752,45.91888829,-77.87831046,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,2/24/2011 10:46,169
8528543,MACSJ0304.3-4401,46.08807781,-44.03262342,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,1/2/2012 2:58,169
8529695,MACSJ0308.9+2645,47.22668097,26.76055347,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/1/2012 3:14,169
8529678,MACSJ0312.9+0822,48.23466091,8.375121215,SPIRE,SpirePhotoSmallScan,TRUE,LEVEL2_PROCESSED,3/1/2012 3:48,169
