Name,RA,DEC,z,K0,K100,alpha,Tcl,Lbol,UL??,LHa,UL?,Lrad
RX_J0528.9-3927,82.220995833,-39.47098055,0.2632,72.85,99.8,1.47,9.77,13.1,?,0.0,=,11.1
RX_J0647.7+7015,101.95845416,70.247127777,0.584,225.06,48.82,1.7,9.07,26.7,?,0.0,<,39.1
RX_J0819.6+6336,124.85836249,63.624036111,0.119,20.69,170.57,0.68,3.9,1.12,?,0.0,=,11.0
RX_J1000.4+4409,150.13343333,44.144358333,0.154,27.71,151.1,1.09,3.42,0.0,=,1.3,<,1.41
RX_J1022.1+3830,155.54180833,38.523205555,0.0491,51.6,194.76,1.04,3.04,0.0,?,0.0,<,0.124
RX_J1130.0+3637,172.51162083,36.635627777,0.06,29.93,149.6,1.14,2.02,0.0,?,0.0,<,0.188
RX_J1320.2+3308,200.06104166,33.142516666,0.0366,8.8,140.28,1.28,1.01,0.0,=,0.212,=,2.24
RX_J1347.5-1145,206.87747083,-11.75279166,0.451,12.45,179.86,1.06,10.88,101.0,?,0.0,=,384.0
RX_J1423.8+2404,215.94899583,24.077902777,0.545,10.23,119.91,1.27,5.92,16.0,?,0.0,=,106.0
RX_J1504.1-0248,226.03089583,-2.804361111,0.215,13.08,95.58,1.5,8.9,34.9,?,0.0,=,90.2
RX_J1532.9+3021,233.22408749,30.349644444,0.345,16.93,76.31,1.51,5.44,21.0,=,473.0,=,101.0
RX_J1539.5-8335,234.88535416,-83.58995277,0.0728,25.88,109.99,1.41,3.81,0.0,?,0.0,=,3.92
RX_J1720.1+2638,260.04142083,26.624752777,0.164,21.03,109.14,1.39,5.55,11.5,=,7.6,=,71.4
RX_J1720.2+3536,260.0706375,35.606563888,0.3913,24.0,94.44,1.42,5.65,13.1,?,0.0,=,107.0
RX_J1852.1+5711,283.03672916,57.195175,0.1094,18.72,170.36,0.83,3.44,0.0,?,0.0,=,13.6
RX_J2129.6+0005,322.41643333,0.0885638888,0.235,21.14,97.91,1.26,6.1,12.7,?,0.0,=,46.3
SC_1327-312,202.44894999,-31.60653888,0.0531,64.57,160.82,0.81,3.53,3.16,?,0.0,<,0.145
SERSIC_159-03,348.49484999,-42.72630555,0.058,10.45,77.78,1.17,2.65,1.1,=,3.54,=,18.7
SS2B153,162.60885416,-12.84493333,0.0186,1.12,71.35,0.8,0.8,0.0,?,0.0,=,0.216
UGC_03957,115.24306249,55.427305555,0.0341,12.88,175.07,0.98,2.96,0.0,?,0.0,=,1.23
UGC_12491,349.65962916,42.958072222,0.0174,2.99,148.48,1.12,0.87,0.0,?,0.0,=,0.02
ZWCL_1215,184.42378333,3.6543916666,0.075,163.23,131.29,1.0,3.0,3.52,?,0.0,<,0.378
ZWCL_1358+6245,209.96052499,62.517936111,0.328,20.67,97.97,1.43,7.2,12.5,=,129.0,<,7.8
ZWCL_1742,266.06047916,32.991577777,0.0757,23.84,126.53,1.3,4.4,0.0,?,0.0,=,11.1
ZWCL_1953,132.52782083,36.071155555,0.38,194.53,62.12,1.39,14.5,17.3,?,0.0,<,10.8
